Rk,Season,Team,Comp,W,MP,W,D,L,Pts,Pts/MP,LgRank,Min,Subs,GF,GA,GD,Poss,CS,CS%,G-PK,PK,PKatt,PKm
332,2023-2024,Celta Vigo,es La Liga,10,38,10,11,17,41,1.08,13th,3420,167,46,57,-11,46.1,6,15.8,42,3,5,2
333,2022-2023,Hoffenheim,de Bundesliga,10,34,10,6,18,36,1.06,12th,3060,157,48,57,-9,48.3,5,14.7,39,7,9,2
334,2022-2023,Werder Bremen,de Bundesliga,10,34,10,6,18,36,1.06,13th,3060,151,51,64,-13,49.3,4,11.8,45,5,6,1
335,2022-2023,Getafe,es La Liga,10,38,10,12,16,42,1.11,15th,3420,165,34,45,-11,39.9,13,34.2,29,5,8,3
336,2022-2023,Empoli,it Serie A,10,38,10,13,15,43,1.13,14th,3420,188,37,49,-12,47.3,9,23.7,33,2,2,0
337,2022-2023,Bochum,de Bundesliga,10,34,10,5,19,35,1.03,14th,3060,157,40,72,-32,46.1,5,14.7,34,3,3,0
338,2022-2023,Köln,de Bundesliga,10,34,10,12,12,42,1.24,11th,3060,160,49,54,-5,49.9,6,17.6,42,4,4,0
339,2022-2023,Cádiz,es La Liga,10,38,10,12,16,42,1.11,14th,3420,183,30,53,-23,41.9,13,34.2,25,4,5,1
340,2021-2022,Augsburg,de Bundesliga,10,34,10,8,16,38,1.12,14th,3060,169,39,56,-17,41.5,9,26.5,34,5,5,0
341,2021-2022,Mallorca,es La Liga,10,38,10,9,19,39,1.03,16th,3420,178,36,63,-27,45.3,9,23.7,27,6,7,1
342,2021-2022,Spezia,it Serie A,10,38,10,6,22,36,0.95,16th,3420,137,41,71,-30,42.7,7,18.4,35,3,5,2
343,2021-2022,Angers,fr Ligue 1,10,38,10,11,17,41,1.08,14th,3420,154,44,55,-11,48.4,8,21.1,32,9,9,0
344,2021-2022,Sampdoria,it Serie A,10,38,10,6,22,36,0.95,15th,3420,167,46,63,-17,46.1,7,18.4,40,2,4,2
345,2021-2022,Empoli,it Serie A,10,38,10,11,17,41,1.08,14th,3420,178,50,70,-20,47.4,7,18.4,40,7,7,0
346,2021-2022,Espanyol,es La Liga,10,38,10,12,16,42,1.11,14th,3420,181,40,53,-13,46.9,10,26.3,34,5,5,0
347,2021-2022,Eint Frankfurt,de Bundesliga,10,34,10,12,12,42,1.24,11th,3060,144,45,49,-4,49.6,5,14.7,42,1,2,1
348,2020-2021,Udinese,it Serie A,10,38,10,10,18,40,1.05,14th,3420,146,42,58,-16,46.3,8,21.1,36,4,4,0
349,2020-2021,Augsburg,de Bundesliga,10,34,10,6,18,36,1.06,13th,3060,141,36,54,-18,41.4,7,20.6,33,2,5,3
350,2020-2021,Bologna,it Serie A,10,38,10,11,17,41,1.08,12th,3420,172,51,65,-14,50.8,5,13.2,46,3,4,1
351,2020-2021,Genoa,it Serie A,10,38,10,12,16,42,1.11,11th,3420,180,47,58,-11,44.8,9,23.7,42,4,4,0
352,2020-2021,Burnley,eng Premier League,10,38,10,9,19,39,1.03,17th,3420,81,33,55,-22,42.1,11,28.9,29,3,3,0
353,2020-2021,Mainz 05,de Bundesliga,10,34,10,9,15,39,1.15,12th,3060,150,39,56,-17,40.7,5,14.7,34,5,5,0
354,2020-2021,Valencia,es La Liga,10,38,10,13,15,43,1.13,13th,3420,150,50,53,-3,46.9,7,18.4,40,8,10,2
355,2019-2020,Genoa,it Serie A,10,38,10,9,19,39,1.03,17th,3420,135,47,73,-26,49.5,7,18.4,35,11,16,5
356,2019-2020,West Ham,eng Premier League,10,38,10,9,19,39,1.03,16th,3420,107,49,62,-13,44.1,7,18.4,45,4,4,0
357,2019-2020,Reims,fr Ligue 1,10,28,10,11,7,41,1.46,6th,2520,81,26,21,5,48.9,12,42.9,21,5,5,0
358,2019-2020,Alavés,es La Liga,10,38,10,9,19,39,1.03,16th,3420,133,34,59,-25,41.5,9,23.7,28,6,6,0
359,2019-2020,Köln,de Bundesliga,10,34,10,6,18,36,1.06,14th,3060,117,51,69,-18,46.7,6,17.6,48,2,4,2
360,2019-2020,Betis,es La Liga,10,38,10,11,17,41,1.08,15th,3420,132,48,60,-12,56.7,6,15.8,42,6,8,2
361,2023-2024,Hellas Verona,it Serie A,9,38,9,11,18,38,1,13th,3420,179,38,51,-13,44.4,8,21.1,35,3,7,4
362,2023-2024,Union Berlin,de Bundesliga,9,34,9,6,19,33,0.97,15th,3060,167,33,58,-25,42.9,7,20.6,30,3,6,3
363,2023-2024,Empoli,it Serie A,9,38,9,9,20,36,0.95,17th,3420,184,29,54,-25,44,9,23.7,21,5,5,0
364,2023-2024,Nantes,fr Ligue 1,9,34,9,6,19,33,0.97,14th,3060,154,30,55,-25,44.8,8,23.5,26,4,5,1
365,2023-2024,Nott'ham Forest,eng Premier League,9,38,9,9,20,36,0.95,17th,3420,158,49,67,-18,40.6,4,10.5,48,1,1,0
366,2022-2023,Augsburg,de Bundesliga,9,34,9,7,18,34,1,15th,3060,150,42,63,-21,41.7,6,17.6,37,4,5,1
367,2022-2023,Leicester City,eng Premier League,9,38,9,7,22,34,0.89,18th,3420,138,51,68,-17,47.7,7,18.4,46,3,6,3
368,2022-2023,Strasbourg,fr Ligue 1,9,38,9,13,16,40,1.05,15th,3420,161,51,59,-8,45.9,6,15.8,43,5,7,2
369,2022-2023,Salernitana,it Serie A,9,38,9,15,14,42,1.11,15th,3420,177,48,62,-14,44.9,7,18.4,44,2,2,0
370,2022-2023,Nott'ham Forest,eng Premier League,9,38,9,11,18,38,1,16th,3420,159,38,68,-30,37.6,8,21.1,33,3,6,3
371,2021-2022,Hertha BSC,de Bundesliga,9,34,9,6,19,33,0.97,16th,3060,152,37,71,-34,43.7,6,17.6,32,3,3,0
372,2021-2022,Southampton,eng Premier League,9,38,9,13,16,40,1.05,15th,3420,110,43,67,-24,47.7,8,21.1,37,4,4,0
373,2021-2022,Troyes,fr Ligue 1,9,38,9,11,18,38,1,15th,3420,164,37,53,-16,44.4,9,23.7,29,6,7,1
374,2021-2022,Leeds United,eng Premier League,9,38,9,11,18,38,1,17th,3420,106,42,79,-37,52.3,5,13.2,37,5,5,0
375,2021-2022,Clermont Foot,fr Ligue 1,9,38,9,9,20,36,0.95,17th,3420,159,38,69,-31,50,8,21.1,34,2,3,1
376,2020-2021,Nîmes,fr Ligue 1,9,38,9,8,21,35,0.92,19th,3420,148,40,71,-31,44.4,8,21.1,33,7,8,1
377,2020-2021,Arminia,de Bundesliga,9,34,9,8,17,35,1.03,15th,3060,147,26,52,-26,42.3,11,32.4,22,1,2,1
378,2020-2021,Fiorentina,it Serie A,9,38,9,13,16,40,1.05,13th,3420,158,47,59,-12,46.3,9,23.7,38,6,6,0
379,2020-2021,Spezia,it Serie A,9,38,9,12,17,39,1.03,15th,3420,180,52,72,-20,51.9,5,13.2,48,4,5,1
